sku_id,platform,category,title,brand,price,original_price,sales,sales_unit,comments,shop_name,data_source,crawl_time,log_sales,price_band
REF0001,淘宝,polo衫,白牌 情侣款polo衫 半袖 潮流 纯色,白牌,75,109,310,近30天,153,淘宝示范店铺5,reference,2026-08-19T23:14:43,2.4913616938342726,60-79
REF0002,淘宝,polo衫,工厂直供 情侣款polo衫 半袖 潮流 纯色,白牌,75,108,409,近30天,114,淘宝示范店铺76,reference,2026-08-19T23:14:43,2.611723308007342,60-79
REF0003,淘宝,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,70,93,598,近30天,221,淘宝示范店铺49,reference,2026-08-19T23:14:43,2.776701183988411,60-79
REF0004,淘宝,polo衫,白牌 针织polo衫 薄款 透气 中青年,白牌,129,182,246,近30天,121,淘宝示范店铺81,reference,2026-08-19T23:14:43,2.3909351071033793,120-139
REF0005,淘宝,polo衫,白牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,42,55,968,近30天,211,淘宝示范店铺49,reference,2026-08-19T23:14:43,2.9858753573083936,40-59
REF0006,淘宝,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,45,61,402,近30天,139,淘宝示范店铺88,reference,2026-08-19T23:14:43,2.60422605308447,40-59
REF0007,淘宝,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,59,80,175,近30天,46,淘宝示范店铺99,reference,2026-08-19T23:14:43,2.2430380486862944,40-59
REF0008,淘宝,polo衫,白牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,52,70,879,近30天,187,淘宝示范店铺73,reference,2026-08-19T23:14:43,2.9439888750737717,40-59
REF0009,淘宝,polo衫,无品牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,94,130,364,近30天,206,淘宝示范店铺72,reference,2026-08-19T23:14:43,2.561101383649056,80-99
REF0010,淘宝,polo衫,无品牌 重磅珠地棉polo衫 免烫 通勤百搭,无品牌,64,91,579,近30天,215,淘宝示范店铺66,reference,2026-08-19T23:14:43,2.762678563727436,60-79
REF0011,淘宝,polo衫,白牌 情侣款polo衫 半袖 潮流 纯色,白牌,39,57,1196,近30天,316,淘宝示范店铺77,reference,2026-08-19T23:14:43,3.077731179652392,20-39
REF0012,淘宝,polo衫,自主品牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,81,117,527,近30天,162,淘宝示范店铺59,reference,2026-08-19T23:14:43,2.7218106152125467,80-99
REF0013,淘宝,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,119,171,295,近30天,72,淘宝示范店铺98,reference,2026-08-19T23:14:43,2.469822015978163,100-119
REF0014,淘宝,polo衫,无品牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,80,109,445,近30天,109,淘宝示范店铺73,reference,2026-08-19T23:14:43,2.6483600109809315,60-79
REF0015,淘宝,polo衫,工厂直供 纯棉polo衫 女 宽松显瘦 短袖上衣,无品牌,89,132,309,近30天,156,淘宝示范店铺34,reference,2026-08-19T23:14:43,2.4899584794248346,80-99
REF0016,拼多多,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,37,57,5929,近30天,3473,拼多多示范店铺52,reference,2026-08-19T23:14:43,3.7729814503449637,20-39
REF0017,拼多多,polo衫,白牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,56,74,2177,近30天,541,拼多多示范店铺30,reference,2026-08-19T23:14:43,3.3378584290410944,40-59
REF0018,拼多多,polo衫,白牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,38,48,5782,近30天,2793,拼多多示范店铺66,reference,2026-08-19T23:14:43,3.762078087334639,20-39
REF0019,拼多多,polo衫,无品牌 针织polo衫 薄款 透气 中青年,工厂直供,40,57,3576,近30天,2053,拼多多示范店铺25,reference,2026-08-19T23:14:43,3.55339751012388,20-39
REF0020,拼多多,polo衫,白牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,57,78,766,近30天,262,拼多多示范店铺83,reference,2026-08-19T23:14:43,2.884228769632604,40-59
REF0021,拼多多,polo衫,无品牌 针织polo衫 薄款 透气 中青年,白牌,49,64,1109,近30天,332,拼多多示范店铺36,reference,2026-08-19T23:14:43,3.04493154614916,40-59
REF0022,拼多多,polo衫,白牌 情侣款polo衫 半袖 潮流 纯色,白牌,46,69,2849,近30天,656,拼多多示范店铺70,reference,2026-08-19T23:14:43,3.454692449239477,40-59
REF0023,拼多多,polo衫,无品牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,55,75,1391,近30天,397,拼多多示范店铺50,reference,2026-08-19T23:14:43,3.143327129992046,40-59
REF0026,拼多多,polo衫,工厂直供 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,43,62,2637,近30天,1155,拼多多示范店铺73,reference,2026-08-19T23:14:43,3.4211101297934343,40-59
REF0027,拼多多,polo衫,无品牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,39,55,6182,近30天,2680,拼多多示范店铺41,reference,2026-08-19T23:14:43,3.791129000727286,20-39
REF0028,拼多多,polo衫,白牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,55,74,1706,近30天,800,拼多多示范店铺80,reference,2026-08-19T23:14:43,3.231979026831504,40-59
REF0029,拼多多,polo衫,无品牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,79,121,550,近30天,168,拼多多示范店铺21,reference,2026-08-19T23:14:43,2.7403626894942437,60-79
REF0030,拼多多,polo衫,白牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,39,60,4482,近30天,1439,拼多多示范店铺71,reference,2026-08-19T23:14:43,3.6514718521990424,20-39
REF0031,抖音,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,59,86,1950,近30天,862,抖音示范店铺33,reference,2026-08-19T23:14:43,3.290034611362518,40-59
REF0032,抖音,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,100,125,335,近30天,104,抖音示范店铺57,reference,2026-08-19T23:14:43,2.525044807036845,80-99
REF0033,抖音,polo衫,白牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,47,61,3186,近30天,1380,抖音示范店铺6,reference,2026-08-19T23:14:43,3.503245771465113,40-59
REF0034,抖音,polo衫,工厂直供 情侣款polo衫 半袖 潮流 纯色,无品牌,62,79,2719,近30天,815,抖音示范店铺31,reference,2026-08-19T23:14:43,3.4344092075875,60-79
REF0035,抖音,polo衫,工厂直供 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,109,140,778,近30天,401,抖音示范店铺59,reference,2026-08-19T23:14:43,2.890979596989689,100-119
REF0036,抖音,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,39,51,1361,近30天,747,抖音示范店铺36,reference,2026-08-19T23:14:43,3.133858125203335,20-39
REF0037,抖音,polo衫,自主品牌 情侣款polo衫 半袖 潮流 纯色,白牌,107,165,306,近30天,110,抖音示范店铺34,reference,2026-08-19T23:14:43,2.48572142648158,100-119
REF0038,抖音,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,39,57,2341,近30天,875,抖音示范店铺66,reference,2026-08-19T23:14:43,3.3694014136966244,20-39
REF0039,抖音,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,104,151,521,近30天,272,抖音示范店铺9,reference,2026-08-19T23:14:43,2.7168377232995247,100-119
REF0040,抖音,polo衫,自主品牌 情侣款polo衫 半袖 潮流 纯色,白牌,100,152,922,近30天,230,抖音示范店铺42,reference,2026-08-19T23:14:43,2.9647309210536292,80-99
REF0041,抖音,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,54,78,1124,近30天,648,抖音示范店铺1,reference,2026-08-19T23:14:43,3.0507663112330423,40-59
REF0042,抖音,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,80,115,852,近30天,438,抖音示范店铺87,reference,2026-08-19T23:14:43,2.9304395947667,60-79
REF0043,抖音,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,75,112,1269,近30天,424,抖音示范店铺26,reference,2026-08-19T23:14:43,3.103461622094705,60-79
REF0044,抖音,polo衫,工厂直供 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,93,132,1238,近30天,686,抖音示范店铺32,reference,2026-08-19T23:14:43,3.0927206446840994,80-99
REF0045,抖音,polo衫,无品牌 情侣款polo衫 半袖 潮流 纯色,白牌,89,124,222,近30天,106,抖音示范店铺59,reference,2026-08-19T23:14:43,2.346352974450639,80-99
REF0046,微信视频号,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,136,193,230,近30天,95,微信视频号示范店铺93,reference,2026-08-19T23:14:43,2.361727836017593,120-139
REF0047,微信视频号,polo衫,自主品牌 针织polo衫 薄款 透气 中青年,自主品牌,124,187,1115,近30天,294,微信视频号示范店铺99,reference,2026-08-19T23:14:43,3.0472748673841794,120-139
REF0048,微信视频号,polo衫,自主品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,79,109,2281,近30天,674,微信视频号示范店铺43,reference,2026-08-19T23:14:43,3.3581252852766488,60-79
REF0049,微信视频号,polo衫,工厂直供 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,83,121,813,近30天,388,微信视频号示范店铺70,reference,2026-08-19T23:14:43,2.910090545594068,80-99
REF0050,微信视频号,polo衫,白牌 情侣款polo衫 半袖 潮流 纯色,工厂直供,133,182,450,近30天,240,微信视频号示范店铺62,reference,2026-08-19T23:14:43,2.6532125137753435,120-139
REF0051,微信视频号,polo衫,无品牌 情侣款polo衫 半袖 潮流 纯色,白牌,127,180,1097,近30天,547,微信视频号示范店铺35,reference,2026-08-19T23:14:43,3.0402066275747113,120-139
REF0052,微信视频号,polo衫,无品牌 针织polo衫 薄款 透气 中青年,无品牌,100,145,847,近30天,283,微信视频号示范店铺80,reference,2026-08-19T23:14:43,2.9278834103307068,80-99
REF0053,微信视频号,polo衫,无品牌 针织polo衫 薄款 透气 中青年,白牌,49,68,3234,近30天,755,微信视频号示范店铺49,reference,2026-08-19T23:14:43,3.509740015570382,40-59
REF0054,微信视频号,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,85,129,903,近30天,303,微信视频号示范店铺11,reference,2026-08-19T23:14:43,2.9556877503135057,80-99
REF0055,微信视频号,polo衫,无品牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,50,63,1853,近30天,1080,微信视频号示范店铺3,reference,2026-08-19T23:14:43,3.2678754193188975,40-59
REF0056,微信视频号,polo衫,工厂直供 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,108,139,893,近30天,348,微信视频号示范店铺99,reference,2026-08-19T23:14:43,2.9508514588885464,100-119
REF0057,微信视频号,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,71,101,2203,近30天,715,微信视频号示范店铺92,reference,2026-08-19T23:14:43,3.343014497150768,60-79
REF0058,微信视频号,polo衫,自主品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,129,171,251,近30天,134,微信视频号示范店铺73,reference,2026-08-19T23:14:43,2.399673721481038,120-139
REF0059,微信视频号,polo衫,工厂直供 针织polo衫 薄款 透气 中青年,白牌,105,142,733,近30天,295,微信视频号示范店铺47,reference,2026-08-19T23:14:43,2.8651039746411278,100-119
REF0060,微信视频号,polo衫,自主品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,72,99,3331,近30天,1609,微信视频号示范店铺69,reference,2026-08-19T23:14:43,3.522574632691177,60-79
REF0061,淘宝,牛仔裤,自主品牌 牛仔裤 男 直筒 宽松 大码 百搭,无品牌,136,180,650,近30天,214,淘宝示范店铺97,reference,2026-08-19T23:14:43,2.8129133566428557,120-139
REF0062,淘宝,牛仔裤,无品牌 锥形牛仔裤 九分 春夏薄款,白牌,85,107,531,近30天,187,淘宝示范店铺46,reference,2026-08-19T23:14:43,2.725094521081469,80-99
REF0063,淘宝,牛仔裤,白牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,140,175,966,近30天,300,淘宝示范店铺53,reference,2026-08-19T23:14:43,2.9849771264154934,120-139
REF0064,淘宝,牛仔裤,工厂直供 阔腿牛仔裤 复古 水洗 做旧,白牌,94,136,494,近30天,235,淘宝示范店铺38,reference,2026-08-19T23:14:43,2.693726948923647,80-99
REF0065,淘宝,牛仔裤,自主品牌 阔腿牛仔裤 复古 水洗 做旧,白牌,140,197,188,近30天,73,淘宝示范店铺59,reference,2026-08-19T23:14:43,2.27415784926368,120-139
REF0067,淘宝,牛仔裤,自主品牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,65,83,1911,近30天,599,淘宝示范店铺23,reference,2026-08-19T23:14:43,3.281260687055013,60-79
REF0068,淘宝,牛仔裤,自主品牌 牛仔裤 男 直筒 宽松 大码 百搭,白牌,135,171,163,近30天,41,淘宝示范店铺17,reference,2026-08-19T23:14:43,2.2121876044039577,120-139
REF0069,淘宝,牛仔裤,工厂直供 锥形牛仔裤 九分 春夏薄款,白牌,86,132,386,近30天,130,淘宝示范店铺9,reference,2026-08-19T23:14:43,2.586587304671755,80-99
REF0070,淘宝,牛仔裤,自主品牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,78,99,570,近30天,258,淘宝示范店铺32,reference,2026-08-19T23:14:43,2.7558748556724915,60-79
