sku_id,platform,category,title,brand,price,original_price,sales,sales_unit,comments,shop_name,data_source,crawl_time
REF0001,淘宝,polo衫,白牌 情侣款polo衫 半袖 潮流 纯色,白牌,75,109,310,近30天,153,淘宝示范店铺5,reference,2026-08-19T23:14:43
REF0002,淘宝,polo衫,工厂直供 情侣款polo衫 半袖 潮流 纯色,白牌,75,108,409,近30天,114,淘宝示范店铺76,reference,2026-08-19T23:14:43
REF0003,淘宝,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,70,93,598,近30天,221,淘宝示范店铺49,reference,2026-08-19T23:14:43
REF0004,淘宝,polo衫,白牌 针织polo衫 薄款 透气 中青年,白牌,129,182,246,近30天,121,淘宝示范店铺81,reference,2026-08-19T23:14:43
REF0005,淘宝,polo衫,白牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,42,55,968,近30天,211,淘宝示范店铺49,reference,2026-08-19T23:14:43
REF0006,淘宝,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,45,61,402,近30天,139,淘宝示范店铺88,reference,2026-08-19T23:14:43
REF0007,淘宝,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,59,80,175,近30天,46,淘宝示范店铺99,reference,2026-08-19T23:14:43
REF0008,淘宝,polo衫,白牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,52,70,879,近30天,187,淘宝示范店铺73,reference,2026-08-19T23:14:43
REF0009,淘宝,polo衫,无品牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,94,130,364,近30天,206,淘宝示范店铺72,reference,2026-08-19T23:14:43
REF0010,淘宝,polo衫,无品牌 重磅珠地棉polo衫 免烫 通勤百搭,无品牌,64,91,579,近30天,215,淘宝示范店铺66,reference,2026-08-19T23:14:43
REF0011,淘宝,polo衫,白牌 情侣款polo衫 半袖 潮流 纯色,白牌,39,57,1196,近30天,316,淘宝示范店铺77,reference,2026-08-19T23:14:43
REF0012,淘宝,polo衫,自主品牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,81,117,527,近30天,162,淘宝示范店铺59,reference,2026-08-19T23:14:43
REF0013,淘宝,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,119,171,295,近30天,72,淘宝示范店铺98,reference,2026-08-19T23:14:43
REF0014,淘宝,polo衫,无品牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,80,109,445,近30天,109,淘宝示范店铺73,reference,2026-08-19T23:14:43
REF0015,淘宝,polo衫,工厂直供 纯棉polo衫 女 宽松显瘦 短袖上衣,无品牌,89,132,309,近30天,156,淘宝示范店铺34,reference,2026-08-19T23:14:43
REF0016,拼多多,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,37,57,5929,近30天,3473,拼多多示范店铺52,reference,2026-08-19T23:14:43
REF0017,拼多多,polo衫,白牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,56,74,2177,近30天,541,拼多多示范店铺30,reference,2026-08-19T23:14:43
REF0018,拼多多,polo衫,白牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,38,48,5782,近30天,2793,拼多多示范店铺66,reference,2026-08-19T23:14:43
REF0019,拼多多,polo衫,无品牌 针织polo衫 薄款 透气 中青年,工厂直供,40,57,3576,近30天,2053,拼多多示范店铺25,reference,2026-08-19T23:14:43
REF0020,拼多多,polo衫,白牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,57,78,766,近30天,262,拼多多示范店铺83,reference,2026-08-19T23:14:43
REF0021,拼多多,polo衫,无品牌 针织polo衫 薄款 透气 中青年,白牌,49,64,1109,近30天,332,拼多多示范店铺36,reference,2026-08-19T23:14:43
REF0022,拼多多,polo衫,白牌 情侣款polo衫 半袖 潮流 纯色,白牌,46,69,2849,近30天,656,拼多多示范店铺70,reference,2026-08-19T23:14:43
REF0023,拼多多,polo衫,无品牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,55,75,1391,近30天,397,拼多多示范店铺50,reference,2026-08-19T23:14:43
REF0024,拼多多,polo衫,工厂直供 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,19,26,4301,近30天,1643,拼多多示范店铺38,reference,2026-08-19T23:14:43
REF0025,拼多多,polo衫,无品牌 针织polo衫 薄款 透气 中青年,白牌,40,51,6183,近30天,2012,拼多多示范店铺66,reference,2026-08-19T23:14:43
REF0026,拼多多,polo衫,工厂直供 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,43,62,2637,近30天,1155,拼多多示范店铺73,reference,2026-08-19T23:14:43
REF0027,拼多多,polo衫,无品牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,39,55,6182,近30天,2680,拼多多示范店铺41,reference,2026-08-19T23:14:43
REF0028,拼多多,polo衫,白牌 重磅珠地棉polo衫 免烫 通勤百搭,白牌,55,74,1706,近30天,800,拼多多示范店铺80,reference,2026-08-19T23:14:43
REF0029,拼多多,polo衫,无品牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,79,121,550,近30天,168,拼多多示范店铺21,reference,2026-08-19T23:14:43
REF0030,拼多多,polo衫,白牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,39,60,4482,近30天,1439,拼多多示范店铺71,reference,2026-08-19T23:14:43
REF0031,抖音,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,59,86,1950,近30天,862,抖音示范店铺33,reference,2026-08-19T23:14:43
REF0032,抖音,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,100,125,335,近30天,104,抖音示范店铺57,reference,2026-08-19T23:14:43
REF0033,抖音,polo衫,白牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,47,61,3186,近30天,1380,抖音示范店铺6,reference,2026-08-19T23:14:43
REF0034,抖音,polo衫,工厂直供 情侣款polo衫 半袖 潮流 纯色,无品牌,62,79,2719,近30天,815,抖音示范店铺31,reference,2026-08-19T23:14:43
REF0035,抖音,polo衫,工厂直供 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,109,140,778,近30天,401,抖音示范店铺59,reference,2026-08-19T23:14:43
REF0036,抖音,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,39,51,1361,近30天,747,抖音示范店铺36,reference,2026-08-19T23:14:43
REF0037,抖音,polo衫,自主品牌 情侣款polo衫 半袖 潮流 纯色,白牌,107,165,306,近30天,110,抖音示范店铺34,reference,2026-08-19T23:14:43
REF0038,抖音,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,39,57,2341,近30天,875,抖音示范店铺66,reference,2026-08-19T23:14:43
REF0039,抖音,polo衫,无品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,104,151,521,近30天,272,抖音示范店铺9,reference,2026-08-19T23:14:43
REF0040,抖音,polo衫,自主品牌 情侣款polo衫 半袖 潮流 纯色,白牌,100,152,922,近30天,230,抖音示范店铺42,reference,2026-08-19T23:14:43
REF0041,抖音,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,54,78,1124,近30天,648,抖音示范店铺1,reference,2026-08-19T23:14:43
REF0042,抖音,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,80,115,852,近30天,438,抖音示范店铺87,reference,2026-08-19T23:14:43
REF0043,抖音,polo衫,自主品牌 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,75,112,1269,近30天,424,抖音示范店铺26,reference,2026-08-19T23:14:43
REF0044,抖音,polo衫,工厂直供 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,93,132,1238,近30天,686,抖音示范店铺32,reference,2026-08-19T23:14:43
REF0045,抖音,polo衫,无品牌 情侣款polo衫 半袖 潮流 纯色,白牌,89,124,222,近30天,106,抖音示范店铺59,reference,2026-08-19T23:14:43
REF0046,微信视频号,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,136,193,230,近30天,95,微信视频号示范店铺93,reference,2026-08-19T23:14:43
REF0047,微信视频号,polo衫,自主品牌 针织polo衫 薄款 透气 中青年,自主品牌,124,187,1115,近30天,294,微信视频号示范店铺99,reference,2026-08-19T23:14:43
REF0048,微信视频号,polo衫,自主品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,79,109,2281,近30天,674,微信视频号示范店铺43,reference,2026-08-19T23:14:43
REF0049,微信视频号,polo衫,工厂直供 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,83,121,813,近30天,388,微信视频号示范店铺70,reference,2026-08-19T23:14:43
REF0050,微信视频号,polo衫,白牌 情侣款polo衫 半袖 潮流 纯色,工厂直供,133,182,450,近30天,240,微信视频号示范店铺62,reference,2026-08-19T23:14:43
REF0051,微信视频号,polo衫,无品牌 情侣款polo衫 半袖 潮流 纯色,白牌,127,180,1097,近30天,547,微信视频号示范店铺35,reference,2026-08-19T23:14:43
REF0052,微信视频号,polo衫,无品牌 针织polo衫 薄款 透气 中青年,无品牌,100,145,847,近30天,283,微信视频号示范店铺80,reference,2026-08-19T23:14:43
REF0053,微信视频号,polo衫,无品牌 针织polo衫 薄款 透气 中青年,白牌,49,68,3234,近30天,755,微信视频号示范店铺49,reference,2026-08-19T23:14:43
REF0054,微信视频号,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,85,129,903,近30天,303,微信视频号示范店铺11,reference,2026-08-19T23:14:43
REF0055,微信视频号,polo衫,无品牌 冰丝polo衫 男 夏季 翻领短袖 商务休闲,白牌,50,63,1853,近30天,1080,微信视频号示范店铺3,reference,2026-08-19T23:14:43
REF0056,微信视频号,polo衫,工厂直供 纯棉polo衫 女 宽松显瘦 短袖上衣,白牌,108,139,893,近30天,348,微信视频号示范店铺99,reference,2026-08-19T23:14:43
REF0057,微信视频号,polo衫,工厂直供 重磅珠地棉polo衫 免烫 通勤百搭,白牌,71,101,2203,近30天,715,微信视频号示范店铺92,reference,2026-08-19T23:14:43
REF0058,微信视频号,polo衫,自主品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,129,171,251,近30天,134,微信视频号示范店铺73,reference,2026-08-19T23:14:43
REF0059,微信视频号,polo衫,工厂直供 针织polo衫 薄款 透气 中青年,白牌,105,142,733,近30天,295,微信视频号示范店铺47,reference,2026-08-19T23:14:43
REF0060,微信视频号,polo衫,自主品牌 中老年polo衫 爸爸装 冰丝短袖 舒适透气,白牌,72,99,3331,近30天,1609,微信视频号示范店铺69,reference,2026-08-19T23:14:43
REF0061,淘宝,牛仔裤,自主品牌 牛仔裤 男 直筒 宽松 大码 百搭,无品牌,136,180,650,近30天,214,淘宝示范店铺97,reference,2026-08-19T23:14:43
REF0062,淘宝,牛仔裤,无品牌 锥形牛仔裤 九分 春夏薄款,白牌,85,107,531,近30天,187,淘宝示范店铺46,reference,2026-08-19T23:14:43
REF0063,淘宝,牛仔裤,白牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,140,175,966,近30天,300,淘宝示范店铺53,reference,2026-08-19T23:14:43
REF0064,淘宝,牛仔裤,工厂直供 阔腿牛仔裤 复古 水洗 做旧,白牌,94,136,494,近30天,235,淘宝示范店铺38,reference,2026-08-19T23:14:43
REF0065,淘宝,牛仔裤,自主品牌 阔腿牛仔裤 复古 水洗 做旧,白牌,140,197,188,近30天,73,淘宝示范店铺59,reference,2026-08-19T23:14:43
REF0066,淘宝,牛仔裤,无品牌 牛仔裤 男 直筒 宽松 大码 百搭,白牌,189,247,118,近30天,29,淘宝示范店铺95,reference,2026-08-19T23:14:43
REF0067,淘宝,牛仔裤,自主品牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,65,83,1911,近30天,599,淘宝示范店铺23,reference,2026-08-19T23:14:43
REF0068,淘宝,牛仔裤,自主品牌 牛仔裤 男 直筒 宽松 大码 百搭,白牌,135,171,163,近30天,41,淘宝示范店铺17,reference,2026-08-19T23:14:43
REF0069,淘宝,牛仔裤,工厂直供 锥形牛仔裤 九分 春夏薄款,白牌,86,132,386,近30天,130,淘宝示范店铺9,reference,2026-08-19T23:14:43
REF0070,淘宝,牛仔裤,自主品牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,78,99,570,近30天,258,淘宝示范店铺32,reference,2026-08-19T23:14:43
REF0071,淘宝,牛仔裤,工厂直供 阔腿牛仔裤 复古 水洗 做旧,白牌,179,252,288,近30天,84,淘宝示范店铺76,reference,2026-08-19T23:14:43
REF0072,淘宝,牛仔裤,无品牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,175,268,251,近30天,125,淘宝示范店铺11,reference,2026-08-19T23:14:43
REF0073,淘宝,牛仔裤,自主品牌 中老年牛仔裤 宽松直筒 高腰 舒适,白牌,143,189,250,近30天,79,淘宝示范店铺59,reference,2026-08-19T23:14:43
REF0074,淘宝,牛仔裤,无品牌 加绒牛仔裤 秋冬 保暖 直筒,白牌,150,223,151,近30天,46,淘宝示范店铺70,reference,2026-08-19T23:14:43
REF0075,淘宝,牛仔裤,自主品牌 加绒牛仔裤 秋冬 保暖 直筒,白牌,133,198,245,近30天,55,淘宝示范店铺60,reference,2026-08-19T23:14:43
REF0076,拼多多,牛仔裤,工厂直供 阔腿牛仔裤 复古 水洗 做旧,白牌,57,80,9373,近30天,5409,拼多多示范店铺6,reference,2026-08-19T23:14:43
REF0077,拼多多,牛仔裤,白牌 加绒牛仔裤 秋冬 保暖 直筒,自主品牌,68,99,4118,近30天,1201,拼多多示范店铺74,reference,2026-08-19T23:14:43
REF0078,拼多多,牛仔裤,工厂直供 加绒牛仔裤 秋冬 保暖 直筒,白牌,33,43,9826,近30天,5566,拼多多示范店铺63,reference,2026-08-19T23:14:43
REF0079,拼多多,牛仔裤,工厂直供 阔腿牛仔裤 复古 水洗 做旧,白牌,66,86,3482,近30天,842,拼多多示范店铺52,reference,2026-08-19T23:14:43
REF0080,拼多多,牛仔裤,白牌 锥形牛仔裤 九分 春夏薄款,工厂直供,46,62,13909,近30天,5312,拼多多示范店铺66,reference,2026-08-19T23:14:43
REF0081,拼多多,牛仔裤,工厂直供 加绒牛仔裤 秋冬 保暖 直筒,白牌,49,69,12587,近30天,2790,拼多多示范店铺98,reference,2026-08-19T23:14:43
REF0082,拼多多,牛仔裤,工厂直供 中老年牛仔裤 宽松直筒 高腰 舒适,白牌,48,64,3810,近30天,962,拼多多示范店铺81,reference,2026-08-19T23:14:43
REF0083,拼多多,牛仔裤,工厂直供 牛仔裤 男 直筒 宽松 大码 百搭,无品牌,40,51,4209,近30天,1772,拼多多示范店铺64,reference,2026-08-19T23:14:43
REF0084,拼多多,牛仔裤,工厂直供 阔腿牛仔裤 复古 水洗 做旧,白牌,42,58,14460,近30天,6972,拼多多示范店铺71,reference,2026-08-19T23:14:43
REF0085,拼多多,牛仔裤,自主品牌 阔腿牛仔裤 复古 水洗 做旧,自主品牌,55,70,7961,近30天,2027,拼多多示范店铺1,reference,2026-08-19T23:14:43
REF0086,拼多多,牛仔裤,无品牌 阔腿牛仔裤 复古 水洗 做旧,白牌,57,88,3868,近30天,1682,拼多多示范店铺62,reference,2026-08-19T23:14:43
REF0087,拼多多,牛仔裤,无品牌 中老年牛仔裤 宽松直筒 高腰 舒适,白牌,38,50,9876,近30天,3246,拼多多示范店铺30,reference,2026-08-19T23:14:43
