category,price_band,sku_count,total_sales,mean_sales,sales_share
polo衫,100-119,2,1073,536.5,0.98
polo衫,120-139,1,246,246.0,0.22
polo衫,20-39,12,56685,4723.75,51.78
polo衫,40-59,11,30341,2758.27,27.71
polo衫,60-79,12,16659,1388.25,15.22
polo衫,80-99,6,4474,745.67,4.09
牛仔裤,100-119,12,10241,853.42,8.18
牛仔裤,120-139,2,493,246.5,0.39
牛仔裤,140-159,2,500,250.0,0.4
牛仔裤,160-179,2,880,440.0,0.7
牛仔裤,20-39,3,21387,7129.0,17.09
牛仔裤,40-59,10,54863,5486.3,43.84
牛仔裤,60-79,9,23788,2643.11,19.01
牛仔裤,80-99,4,12987,3246.75,10.38
